multi,all_ttime,all_ptime,real_time,ag_nnum,ag_enum,path_num,plan_counter,max_mem
5	1.260000000000001	0	14.92	76	117	43	177	11020
8	3.8499999999999996	0	30.56	112	174	64	264	13168
11	10.739999999999991	0	65.58	148	231	85	351	16172
14	25.26	0	129.70	184	288	106	438	20040
17	51.779999999999994	0	249.10	220	345	127	525	24448
20	98.23000000000006	0	444.47	256	402	148	612	30108
23	175.77000000000004	0	768.31	292	459	169	699	36280
26	300.38999999999993	0	1285.33	328	516	190	786	43560
29	495.19000000000017	0	2082.62	364	573	211	873	51388
32	772.3399999999998	0	3209.13	400	630	232	960	60064
35	1159.0300000000004	0	4800.97	436	687	253	1047	69712
38	1693.3800000000006	0	6981.44	472	744	274	1134	79980
41	2391.709999999998	0	9833.03	508	801	295	1221	91124
44	3304.500000000004	0	13582.35	544	858	316	1308	103220
47	4486.399999999999	0	18412.66	580	915	337	1395	115992
50	5998.940000000005	0	24605.17	616	972	358	1482	129536