multi	hostsNum	vulNum	hostvulNum	serviceNum	conNum
5	15	8	34	88	39
8	21	8	49	130	57
11	27	8	64	172	75
14	33	8	79	214	93
17	39	8	94	256	111
20	45	8	109	298	129
23	51	8	124	340	147
26	57	8	139	382	165
29	63	8	154	424	183
32	69	8	169	466	201
35	75	8	184	508	219
38	81	8	199	550	237
41	87	8	214	592	255
44	93	8	229	634	273
47	99	8	244	676	291
50	105	8	259	718	309
53	111	8	274	760	327
56	117	8	289	802	345
59	123	8	304	844	363
62	129	8	319	886	381
65	135	8	334	928	399
68	141	8	349	970	417
71	147	8	364	1012	435
74	153	8	379	1054	453
77	159	8	394	1096	471
80	165	8	409	1138	489
83	171	8	424	1180	507
86	177	8	439	1222	525
89	183	8	454	1264	543
92	189	8	469	1306	561
95	195	8	484	1348	579
98	201	8	499	1390	597
101	207	8	514	1432	615
104	213	8	529	1474	633
107	219	8	544	1516	651
110	225	8	559	1558	669
113	231	8	574	1600	687
116	237	8	589	1642	705
119	243	8	604	1684	723
122	249	8	619	1726	741
125	255	8	634	1768	759
128	261	8	649	1810	777
131	267	8	664	1852	795
134	273	8	679	1894	813
137	279	8	694	1936	831
140	285	8	709	1978	849
143	291	8	724	2020	867
146	297	8	739	2062	885
149	303	8	754	2104	903
152	309	8	769	2146	921
155	315	8	784	2188	939
158	321	8	799	2230	957
161	327	8	814	2272	975
164	333	8	829	2314	993
167	339	8	844	2356	1011
170	345	8	859	2398	1029
173	351	8	874	2440	1047
176	357	8	889	2482	1065
179	363	8	904	2524	1083
182	369	8	919	2566	1101
185	375	8	934	2608	1119
188	381	8	949	2650	1137
191	387	8	964	2692	1155
194	393	8	979	2734	1173
197	399	8	994	2776	1191
200	405	8	1009	2818	1209
203	411	8	1024	2860	1227
206	417	8	1039	2902	1245
209	423	8	1054	2944	1263
212	429	8	1069	2986	1281
215	435	8	1084	3028	1299
218	441	8	1099	3070	1317
221	447	8	1114	3112	1335
224	453	8	1129	3154	1353
227	459	8	1144	3196	1371
230	465	8	1159	3238	1389
233	471	8	1174	3280	1407
236	477	8	1189	3322	1425
239	483	8	1204	3364	1443
242	489	8	1219	3406	1461
245	495	8	1234	3448	1479
248	501	8	1249	3490	1497